GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Guia de Desenvolvimento,algoritmos,QuickSort,329,0,10,0,47,0,10,0,5,0
Guia de Desenvolvimento,algoritmos,BubbleSort2,122,0,8,0,18,0,6,0,2,0
Guia de Desenvolvimento,algoritmos,TrianguloVazado,56,0,10,0,14,0,8,0,3,0
Guia de Desenvolvimento,algoritmos,BubbleSort,281,0,10,0,31,0,8,0,3,0
Guia de Desenvolvimento,refactorings,AccountService,15,25,1,3,2,6,3,3,2,2
Guia de Desenvolvimento,refactorings,AccountService.Costumer,0,3,0,0,0,1,0,1,0,1
Guia de Desenvolvimento,refactorings,AccountService.Reputation,48,0,0,0,2,0,4,0,4,0
Guia de Desenvolvimento,br.com.santander.devguide.rdbms,MyApp,85,161,12,0,18,33,7,6,1,6
Guia de Desenvolvimento,br.com.santander.devguide.rdbms,Sort,409,0,26,0,59,0,20,0,7,0
Guia de Desenvolvimento,br.com.santander.devguide.rdbms.entity,MyEntityDao,0,43,0,0,0,10,0,4,0,4
Guia de Desenvolvimento,br.com.santander.devguide.rdbms.entity,MyEntityBean,28,53,0,0,12,9,8,3,8,3
Guia de Desenvolvimento,br.com.santander.devguide.rdbms.entity,MyDataBean,12,54,0,0,4,12,4,6,4,6
Guia de Desenvolvimento,doubleprecision,DoubleExorcist,203,0,6,0,38,0,9,0,6,0
